dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2020-12-13T13:00:00Z","2020-12-13T14:00:00Z","2022-03-07T18:19:45Z","","74ojap1l6sqm2bb46oq68b9k60o30bb2cco68b9ichhj6c9p61gm2ohncc@google.com","","2020-12-07T11:12:27Z","","2020-12-07T23:42:42Z","","1","CONFIRMED","[Gaming] Plug & Play","OPAQUE"
"2020-12-08T06:00:00Z","2020-12-08T07:00:00Z","2022-03-07T18:19:45Z","","6hhj2p9o65j3cbb66lj66b9k60ojabb2c4r3ebb16gp3iopg64p32d9kc8@google.com","","2020-12-07T11:10:27Z","","2020-12-08T04:52:21Z","https://www.youtube.com/watch?v=uleGPyl2W-I","0","CONFIRMED","[Superchat] Donation Reading","OPAQUE"
"2020-12-09T09:00:00Z","2020-12-09T10:00:00Z","2022-03-07T18:19:45Z","","coq6cchk75j3ib9p60s38b9kc5j6abb16op32bb26opj0dhk68o3aoho6c@google.com","","2020-12-07T11:11:21Z","","2020-12-09T09:08:42Z","https://www.youtube.com/watch?v=dnleseh4w3w","0","CONFIRMED","[Chatting] Marshmallow Q&A","OPAQUE"
"2020-12-11T14:00:00Z","2020-12-11T15:00:00Z","2022-03-07T18:19:45Z","","cgqj6cr36cs34b9nc5gmab9k68r3gbb264s6ab9h6hhj2pj5c4qj8oj564@google.com","","2020-12-07T11:12:04Z","","2020-12-12T01:36:51Z","https://www.youtube.com/watch?v=dgE4zEsBxBM","0","CONFIRMED","[Karaoke] Mini-Karaoke","OPAQUE"
"2020-12-15T14:00:00Z","2020-12-15T16:00:00Z","2022-03-07T18:19:45Z","","7ejhn9f40p91o6nou91e6ib7bp@google.com","","2020-12-13T15:57:28Z","","2020-12-13T15:57:51Z","","0","CONFIRMED","[Gaming] Passpartout: A Starving Artist","OPAQUE"
"2020-12-17T11:00:00Z","2020-12-17T12:00:00Z","2022-03-07T18:19:45Z","","5us4qba8nve96oq54nhl9eq2gn@google.com","","2020-12-13T15:59:12Z","","2020-12-13T15:59:12Z","","0","CONFIRMED","[Chatting] Tea Time","OPAQUE"
"2020-12-18T12:00:00Z","2020-12-18T13:00:00Z","2022-03-07T18:19:45Z","","4bsr55nag03t8t54nk2t9otis7@google.com","","2020-12-13T15:59:38Z","","2020-12-13T15:59:38Z","","0","CONFIRMED","[Gaming] Cooking Simulator","OPAQUE"
"2020-12-14T13:00:00Z","2020-12-14T15:00:00Z","2022-03-07T18:19:45Z","","3f17mtbehk57pd5vt4k7atbsol@google.com","","2020-12-13T15:55:46Z","","2020-12-14T07:14:41Z","https://www.youtube.com/watch?v=08gGyhGSiBo","1","CONFIRMED","[Gaming] Super Mario 64","OPAQUE"
"2020-12-16T14:00:00Z","2020-12-16T16:00:00Z","2022-03-07T18:19:45Z","","47mrkja7r9l19h3lib0tb17ovn@google.com","","2020-12-13T15:58:39Z","","2020-12-16T08:04:03Z","https://www.youtube.com/watch?v=BXLdu7pb4GM","0","CONFIRMED","[Gaming] Phasmophobia","OPAQUE"
"2020-12-19T03:00:00Z","2020-12-19T04:00:00Z","2022-03-07T18:19:45Z","","2ebkq7iogtu0d3esfj7m28u4dv@google.com","","2020-12-13T16:01:51Z","","2020-12-19T01:06:05Z","https://www.youtube.com/watch?v=MPZfdRKPWek","0","CONFIRMED","[Chatting] Eating Brunch with You","OPAQUE"
"2020-12-24T11:00:00Z","2020-12-24T12:30:00Z","2022-03-07T18:19:45Z","","16n9t4pa55ul3f9ldcdvi7768h@google.com","","2020-12-21T10:02:29Z","","2020-12-21T10:02:29Z","","0","CONFIRMED","[Gaming] House flippers","OPAQUE"
"2020-12-23T11:30:00Z","2020-12-23T13:30:00Z","2022-03-07T18:19:45Z","","49h8f05s7mdpl6o0mv5mnhvuk2@google.com","","2020-12-21T10:01:29Z","","2020-12-23T04:32:38Z","https://www.youtube.com/watch?v=Bu5MeCSJB5Q","1","CONFIRMED","[Chatting] Donation Reading","OPAQUE"
"2020-12-24T04:00:00Z","2020-12-24T05:00:00Z","2022-03-07T18:19:45Z","","5st52tnll97if0lps33kil1rok@google.com","","2020-12-21T10:01:59Z","","2020-12-23T18:17:16Z","https://www.youtube.com/watch?v=JTWTp9B2_j0&feature=youtu.be","0","CONFIRMED","[Chatting] Tea Time (Typing Stuff!)","OPAQUE"
"2020-12-25T04:00:00Z","2020-12-25T05:30:00Z","2022-03-07T18:19:45Z","","6kplvl9jrgq9qv30tmabelqgi3@google.com","","2020-12-21T10:03:12Z","","2020-12-25T03:02:43Z","https://youtu.be/FAH5IoSoCZ0","0","CONFIRMED","[Art] Story/Drawing (about Hanako and Anya)","OPAQUE"
"2020-12-26T04:00:00Z","2020-12-26T05:00:00Z","2022-03-07T18:19:45Z","","2cdo7hf9vqn71ac1u2790oc3tg@google.com","","2020-12-21T10:03:51Z","","2020-12-25T20:39:55Z","https://www.youtube.com/watch?v=O2PuWyN15eA","0","CONFIRMED","[Chatting] Eating Breakfast (literally)","OPAQUE"
"2020-12-27T11:30:00Z","2020-12-27T12:30:00Z","2022-03-07T18:19:45Z","","42bd0lo14eoke2hot4h8lgcau0@google.com","","2020-12-27T05:36:33Z","","2020-12-27T05:36:33Z","https://www.youtube.com/watch?v=ZO2GWAjwIg8","0","CONFIRMED","[Gaming] Phasmophobia","OPAQUE"
"2021-01-02T14:00:00Z","2021-01-02T15:00:00Z","2022-03-07T18:19:45Z","","66pdpu731edlc66vm99pkt8s4q@google.com","","2020-12-28T06:28:26Z","","2020-12-28T06:28:26Z","","0","CONFIRMED","[Gaming] House Flipper","OPAQUE"
"2020-12-29T11:30:00Z","2020-12-29T12:30:00Z","2022-03-07T18:19:45Z","","4qs64hl8hfdpv8dnkric6mpt7l@google.com","","2020-12-28T06:22:37Z","","2020-12-29T06:49:23Z","https://www.youtube.com/watch?v=_RP5C5SNjrc&feature=youtu.be","0","CONFIRMED","[Chatting] Tea Time + Doncation Reading","OPAQUE"
"2020-12-30T11:30:00Z","2020-12-30T12:30:00Z","2022-03-07T18:19:45Z","","6shb3ean83bcgvabdb115sqlb9@google.com","","2020-12-28T06:24:11Z","","2020-12-30T10:19:16Z","https://www.youtube.com/watch?v=G4jUEfKZwDY","0","CONFIRMED","[Gaming] Super Mario 64","OPAQUE"
"2020-12-31T12:30:00Z","2020-12-31T13:30:00Z","2022-03-07T18:19:45Z","","117shd0cv16f8rknt5ss7anqaj@google.com","","2020-12-28T06:25:38Z","","2020-12-31T06:29:36Z","https://www.youtube.com/watch?v=DdpGZOHQz5k","0","CONFIRMED","[Chatting] New Years Eve Free Talk","OPAQUE"
"2020-12-30T04:00:00Z","2020-12-30T05:00:00Z","2022-03-07T18:19:45Z","","00mqfjjavn853a9ihhkpau2tde@google.com","","2020-12-28T06:23:33Z","","2020-12-31T06:30:21Z","https://www.youtube.com/watch?v=2ELfpAmEPZU&t=96s","0","CONFIRMED","[Chatting] Eating Brunch","OPAQUE"
"2021-01-01T14:00:00Z","2021-01-01T15:00:00Z","2022-03-07T18:19:45Z","","0mt5mcphu97od6sfiaddkfe3ch@google.com","","2020-12-28T06:26:39Z","","2021-01-01T14:02:44Z","https://www.youtube.com/watch?v=kHEUggAP8hE","3","CONFIRMED","[Karaoke] New Years 2021","OPAQUE"
