dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2020-11-29T05:30:00Z","2020-11-29T06:30:00Z","2022-03-07T13:04:23Z","","63c502flhjnmoqet2t76gc2aqv@google.com","","2020-11-28T17:57:02Z","","2020-11-29T04:30:59Z","","2","CONFIRMED","Unarchived Karaoke","OPAQUE"
"2020-11-30T09:00:00Z","2020-11-30T10:00:00Z","2022-03-07T13:04:23Z","","45e4br930hpg7ea0rob70k31f6@google.com","","2020-11-29T23:37:46Z","","2020-11-30T06:09:41Z","","3","CONFIRMED","Unarchived Karaoke Round 2","OPAQUE"
"2020-12-02T07:30:00Z","2020-12-02T08:30:00Z","2022-03-07T13:04:23Z","","0c2ma7nh1bjc3mjk2g4ql06jcc@google.com","","2020-11-30T06:46:43Z","","2020-12-02T04:21:23Z","https://www.youtube.com/watch?v=A9zdqulTvPo","1","CONFIRMED","[Kazoo Concert] Superchat Wipeout!!","OPAQUE"
"2020-12-03T07:15:00Z","2020-12-03T08:15:00Z","2022-03-07T13:04:23Z","","15jl306q0su7f86hbnflno6aki@google.com","","2020-11-30T06:49:30Z","","2020-12-03T00:22:10Z","https://www.youtube.com/watch?v=q4cThsyVn-U&feature=youtu.be","3","CONFIRMED","Crash Bandicoot 4","OPAQUE"
"2020-12-03T13:00:00Z","2020-12-03T14:00:00Z","2022-03-07T13:04:23Z","","05scre0mhe0vfdk11hedoc5lgb@google.com","","2020-11-30T06:51:10Z","","2020-12-03T00:22:35Z","https://www.youtube.com/watch?v=vXysv-_1X6w&feature=youtu.be","1","CONFIRMED","Atlus, Please Let Me Play Persona 3. #CallioP3","OPAQUE"
"2020-11-29T08:00:00Z","2020-11-29T09:00:00Z","2022-03-07T13:04:23Z","","43a3s7qv2qs9vi88ebd93al5bd@google.com","","2020-11-29T07:40:22Z","","2020-12-03T20:29:50Z","https://www.youtube.com/watch?v=tUbpjNBApvo","0","CONFIRMED","Karaoke After Party 雑談","OPAQUE"
"2020-11-29T14:30:00Z","2020-11-29T15:30:00Z","2022-03-07T13:04:23Z","","7jfj0heq0hugm9fijegulb4b66@google.com","","2020-11-29T18:57:19Z","","2020-12-03T20:38:21Z","https://www.youtube.com/watch?v=JW-FAHeJnqE","2","CONFIRMED","[Members]","OPAQUE"
"2020-12-04T07:30:00Z","2020-12-04T08:30:00Z","2022-03-07T13:04:23Z","","5cnm5ne7jmqqlj7o81rs7udto3@google.com","","2020-11-30T06:51:41Z","","2020-12-04T03:44:31Z","https://www.youtube.com/watch?v=H6lCL8ka4e4","1","CONFIRMED","Minecraft","OPAQUE"
"2020-11-30T13:30:00Z","2020-11-30T14:30:00Z","2022-03-07T13:04:23Z","","7t2aaa9nfnuuu07h1dqls4i7c1@google.com","","2020-11-29T18:58:54Z","","2020-12-04T09:19:29Z","https://www.youtube.com/watch?v=kyOoU2eAZUU","0","CONFIRMED","[Members]","OPAQUE"
"2020-12-01T07:30:00Z","2020-12-01T08:30:00Z","2022-03-07T13:04:23Z","","00om3f1fdchhe4u3tm0mgj8b1m@google.com","","2020-11-29T18:59:32Z","","2020-12-04T09:20:41Z","https://www.youtube.com/watch?v=Ep5ed7GZWJg","0","CONFIRMED","[Members]","OPAQUE"
"2020-12-05T03:00:00Z","2020-12-05T04:00:00Z","2022-03-07T13:04:23Z","","6jjhaqb53k0cnjqs0m48899ktm@google.com","","2020-11-30T06:52:22Z","","2020-12-04T11:09:25Z","https://www.youtube.com/watch?v=OywYzhdsvyU","1","CONFIRMED","Rap Party!","OPAQUE"
