dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2021-02-08T11:00:00Z","2021-02-08T12:00:00Z","2022-03-07T12:47:59Z","","258t0c15979q8skrdc1ivn486c@google.com","","2021-02-08T06:59:31Z","","2021-02-08T07:22:28Z","https://www.youtube.com/watch?v=esyWQKl7ZRc&feature=youtu.be","0","CONFIRMED","[Gaming] NieR: Automata","OPAQUE"
"2021-02-10T12:00:00Z","2021-02-10T13:00:00Z","2022-03-07T12:47:59Z","","5j44o09jrrnqgmdgvremf6j8qi@google.com","","2021-02-09T23:03:49Z","","2021-02-10T20:14:21Z","https://www.youtube.com/watch?v=fzzYGMXl7PQ","1","CONFIRMED","[Gaming] NieR: Automata","OPAQUE"
"2021-02-13T07:00:00Z","2021-02-13T08:00:00Z","2022-03-07T12:47:59Z","","23qgid6gj8ru3qe01n34fcoqkn@google.com","","2021-02-13T05:45:52Z","","2021-02-13T05:45:52Z","https://www.youtube.com/watch?v=YFqmSy23MP0&feature=youtu.be","0","CONFIRMED","[Gaming] Nier: Automata","OPAQUE"
"2021-02-15T09:15:00Z","2021-02-15T10:00:00Z","2022-03-07T12:47:59Z","","63elu34a91u378k9csme1jicee@google.com","","2021-02-15T08:53:41Z","","2021-02-15T14:00:36Z","https://www.youtube.com/watch?v=gGggU1z83lk&feature=youtu.be","0","CONFIRMED","[Gaming] Nier: Automata","OPAQUE"
"2021-02-19T09:00:00Z","2021-02-19T10:00:00Z","2022-03-07T12:47:59Z","","7rm5khncmtvpitrc65phsdhbne@google.com","","2021-02-19T08:11:13Z","","2021-02-19T08:11:13Z","https://www.youtube.com/watch?v=o7WrlYAK7NQ&feature=youtu.be","0","CONFIRMED","[Gaming] Nier: Automata","OPAQUE"
"2021-02-20T13:00:00Z","2021-02-20T14:00:00Z","2022-03-07T12:47:59Z","","0527c7ut1ugjdd08166c28i269@google.com","","2021-02-20T06:50:48Z","","2021-02-20T06:50:48Z","","0","CONFIRMED","[Members] Prisuners Night","OPAQUE"
"2021-02-20T08:30:00Z","2021-02-20T09:30:00Z","2022-03-07T12:47:59Z","","3vkn35aa620vokbd2ean91vp2i@google.com","","2021-02-20T07:20:06Z","","2021-02-20T07:20:31Z","https://www.youtube.com/watch?v=z2KoLNX-Sv4&feature=youtu.be","1","CONFIRMED","[Gaming] Nier: Automata","OPAQUE"
"2021-02-23T09:00:00Z","2021-02-23T10:00:00Z","2022-03-07T12:47:59Z","","7f1rl4da1vfput5tmon9961qb6@google.com","","2021-02-23T07:26:52Z","","2021-02-23T07:26:52Z","https://www.youtube.com/watch?v=i36pdW1cmFM&feature=youtu.be","0","CONFIRMED","[Gaming] Nier: Automata","OPAQUE"
"2021-02-27T12:00:00Z","2021-02-27T13:00:00Z","2022-03-07T12:47:59Z","","1djfbrv2gtof7dhap06ghqjtlh@google.com","","2021-02-27T20:56:09Z","","2021-02-27T20:56:09Z","https://www.youtube.com/watch?v=Ru8K5KY_Htg","0","CONFIRMED","[Members] {Chatting] Prisuners Night","OPAQUE"
"2021-03-02T13:00:00Z","2021-03-02T14:00:00Z","2022-03-07T12:47:59Z","","5ro4tmdlftfuvflum724nqplo0@google.com","","2021-03-02T07:11:38Z","","2021-03-02T07:22:47Z","https://www.youtube.com/watch?v=pMHYm5Zhgcw&feature=youtu.be","0","CONFIRMED","[Chatting] Freetalk","OPAQUE"
"2021-03-02T08:30:00Z","2021-03-02T09:00:00Z","2022-03-07T12:47:59Z","","7c1483aakphvha7svvjovmiak8@google.com","","2021-03-02T07:15:23Z","","2021-03-03T21:28:13Z","https://www.youtube.com/watch?v=jm6jIkSKo3E&feature=youtu.be","0","CONFIRMED","[Gaming] Nier Automata","OPAQUE"
"2021-03-03T12:15:00Z","2021-03-03T13:00:00Z","2022-03-07T12:47:59Z","","5cftl4bspuubr3p0gl10q6vl28@google.com","","2021-03-02T07:12:32Z","","2021-03-03T21:28:32Z","https://www.youtube.com/watch?v=a8kIlqYLojM","1","CONFIRMED","[Gaming] Minecraft","OPAQUE"
"2021-03-05T12:00:00Z","2021-03-05T13:00:00Z","2022-03-07T12:47:59Z","","02gm4avbei42m0rmknal2sbomb@google.com","","2021-03-04T09:31:07Z","","2021-03-04T09:31:07Z","https://www.youtube.com/watch?v=Rak2qO3lN_w&feature=youtu.be","0","CONFIRMED","[Readalong] SO, I'M A SPIDER, SO WHAT?]","OPAQUE"
"2021-03-04T13:00:00Z","","2022-03-07T12:47:59Z","","1tlm0p6epp4qvbhc9rcgg1akq0@google.com","","2021-03-02T07:14:00Z","","2021-03-04T13:38:56Z","https://www.youtube.com/watch?v=Yn_DdMZd4mc&feature=youtu.be","1","CONFIRMED","[Gaming] Minecraft","OPAQUE"
